|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
320042|13 Rockview Cir|184870.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-73.247666, 41.340395]}]|row-8993~x6wg-tahn|2004|||R|||322000.0|0.57413|40003|Monroe
320043|533 Courtland Ave|202441.0|2004-10-04T00:00:00||row-3cf4.mjym.2uxc|2004|||R|||370000.0|0.547138|40043|Bridgeport
320044|765 Birmingham St|121940.0|2004-10-12T00:00:00|[{'type': 'Point', 'coordinates': [-73.219506, 41.205368]}]|row-cgfu~wsvs-sdh9|2004|||R|||210000.0|0.580667|40121|Bridgeport
320045|20 Burlington Rd|128320.0|2004-10-12T00:00:00||row-34a4-wtk5-9sg2|2004|||R|||215000.0|0.596837|40016|Farmington
320046|20 Middle Rd|81600.0|2004-10-05T00:00:00|[{'type': 'Point', 'coordinates': [-72.045891, 41.490298]}]|row-7xjh-ekr2.c9ja|2004|||R|||165000.0|0.494545|40014|Preston
320047|294 Buddington Rd|110040.0|2004-10-05T00:00:00|[{'type': 'Point', 'coordinates': [-73.128443, 41.28368]}]|row-aavm-2w6v-hvy5|2004|7||R|||600000.0|0.1834|40014|Shelton
320048|37 Crescent Rd|314000.0|2004-10-14T00:00:00|[{'type': 'Point', 'coordinates': [-73.343726, 41.140292]}]|row-zurk~khkf-wc3y|2004|29||R|||0.0|0.0|40045|Westport
320049|24 Old Wagon Rd|1083030.0|2004-10-14T00:00:00||row-2qq4-f9cy.keab|2004|||R|||1615000.0|0.670607|40037|Ridgefield
320050|45 Seventh Ave|327880.0|2004-10-05T00:00:00||row-pzq3.vqbw-tei7|2004|6||R|||460000.0|0.712783|40030|Milford
320051|33 Ariel Way|327940.0|2004-10-05T00:00:00|[{'type': 'Point', 'coordinates': [-72.839054, 41.817595]}]|row-2kvc-6267~urzz|2004|1||R|||325000.0|1.009046|40011|Avon
320052|100 Hickory Ln|74690.0|2004-10-12T00:00:00|[{'type': 'Point', 'coordinates': [-72.997865, 41.601759]}]|row-3gg6~7mju-zymg|2004|||R|||167000.0|0.447246|40011|Wolcott
320053|11 Shadblow Ln|132800.0|2004-10-12T00:00:00|[{'type': 'Point', 'coordinates': [-72.374519, 41.754883]}]|row-42pk~ccwk.anr2|2004|7||R|||381900.0|0.347735|40001|Andover
320054|368 Cosey Bch Ave|187860.0|2004-10-12T00:00:00|[{'type': 'Point', 'coordinates': [-72.87912, 41.244248]}]|row-xycb-9ktk-9t27|2004|||R|||840000.0|0.223643|40020|East Haven
320055|230-232 Farmington Ave|8260.0|2004-10-08T00:00:00|[{'type': 'Point', 'coordinates': [-72.695969, 41.767677]}]|row-cyxu~kwxb~xh8m|2004|||R|||24000.0|0.344167|40063|Hartford
320056|70 Eno Ave|91800.0|2004-10-08T00:00:00|[{'type': 'Point', 'coordinates': [-73.108218, 41.804845]}]|row-9n9c-qvzk-bhyw|2004|||R|||195500.0|0.469565|40021|Torrington
320057|44 Bridge St|552500.0|2004-10-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.36209, 41.122291]}]|row-pdbv-a3yf~64a7|2004|29||R|||0.0|0.0|40023|Westport
320058|130 Carriage Xing|69990.0|2004-10-07T00:00:00|[{'type': 'Point', 'coordinates': [-72.709522, 41.586798]}]|row-vxwd.yivr-2vzi|2004|||R|||129900.0|0.538799|40030|Middletown
320059|38 Cemetary Rd|384900.0|2004-10-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.432621, 41.82472]}]|row-fhya-ji94.tjcx|2004|7||R|||225000.0|1.710667|40002|Sharon
320060|40 Plainfield Ave 7|52360.0|2004-10-15T00:00:00|[{'type': 'Point', 'coordinates': [-72.975712, 41.302969]}]|row-3qs7-66a9-3yv4|2004|||R|||139900.0|0.374267|40039|West Haven
320061|425 Hartford Pike|54290.0|2004-10-12T00:00:00|[{'type': 'Point', 'coordinates': [-71.889049, 41.846478]}]|row-gcuv-5tay-jzsz|2004|||R|||120000.0|0.452417|40017|Killingly
320062|278 Naubuc Ave|133800.0|2004-10-12T00:00:00|[{'type': 'Point', 'coordinates': [-72.623047, 41.717149]}]|row-8wm5.sb4t-jhaf|2004|8||R|||115000.0|1.163478|40020|Glastonbury
320063|479 Liberty St|80220.0|2004-10-12T00:00:00||row-5x9e.2seu~w4s6|2004|1||R|||180000.0|0.445667|40046|Meriden
320064|14 Oak Rdg Dr 7|24220.0|2004-10-12T00:00:00||row-qq88-fy7i.vz4h|2004|||R|||55000.0|0.440364|40081|New Haven
320065|143 Pine Hl Rd Ut 21A|33740.0|2004-10-12T00:00:00||row-cf8c.i3qv-wjq8|2004|||R|||109000.0|0.309541|40074|Thomaston
320066|4 Farm House Ln|195510.0|2004-10-12T00:00:00||row-sarp~ddqp-9x3z|2004|||R|||450000.0|0.434467|40028|Shelton
320067|260 E High St|81760.0|2004-10-13T00:00:00|[{'type': 'Point', 'coordinates': [-72.481602, 41.607676]}]|row-s9iv-m7am-8g8q|2004|||R|||150000.0|0.545067|40018|East Hampton
320068|72 Maple St|96320.0|2004-10-13T00:00:00|[{'type': 'Point', 'coordinates': [-73.070012, 41.387024]}]|row-h9dn-pud8-eyyw|2004|||R|||165000.0|0.583758|40018|Seymour
320069|276 Booth Hl Rd|164800.0|2004-10-13T00:00:00|[{'type': 'Point', 'coordinates': [-73.170782, 41.247433]}]|row-szte.2ekm-4eua|2004|||R|||445000.0|0.370337|40004|Trumbull
320070|120 Northview Dr|123300.0|2004-10-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.58505, 41.813653]}]|row-e7hp-jf7p-5d85|2004|||R|||255000.0|0.483529|40033|South Windsor
320071|241 Massapeag Rd|128840.0|2004-10-18T00:00:00||row-754h-zeqz-nhfd|2004|8||R|||184500.0|0.69832|40032|Montville
320072|308 Rosewood Ave|42770.0|2004-10-13T00:00:00||row-w3mw-j3bz~jigg|2004|||R|||107000.0|0.39972|40094|New Haven
320073|49 Frank St|124950.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-73.520629, 41.053996]}]|row-zyyz.uztj-2x37|2004|||R|||405000.0|0.308519|40006|Stamford
320074|16 Roger Ave|128400.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-73.466129, 41.393626]}]|row-xhfz-2dwu.esv7|2004|1||R|||233333.0|0.550287|40009|Danbury
320075|28 Peck Ln|126900.0|2006-09-28T00:00:00|[{'type': 'Point', 'coordinates': [-72.412807, 41.5541]}]|row-gvc5-mfjp-amxi|2005|||R|||255000.0|0.497647|50372|Colchester
320076|318 Webb Mnr|10850.0|2006-09-28T00:00:00||row-bdxg.fs7s-r53h|2005|||R|||59700.0|0.181742|51502|Meriden
320077|51 Arrowhead Rd|195440.0|2006-09-28T00:00:00||row-mgix-a4pn-a49z|2005|||R|||500000.0|0.39088|50413|Brookfield
